demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
1003,448,766,55.6,61.2,0,0,0,-1,40
921,986,32,91.0,97.4,0,0,0,-1,68
534,971,458,53.8,58.6,0,0,0,-1,33
853,759,408,89.7,98.3,0,0,0,-1,62
511,710,277,105.6,115.2,0,0,0,-1,65
799,753,32,90.2,101.0,0,0,0,-1,59
614,888,767,108.5,119.9,0,0,0,-1,68
1608,91,328,155.0,163.0,0,0,0,-1,82
1248,835,599,115.5,126.5,0,0,0,-1,74
1115,578,481,98.0,108.4,0,0,0,-1,67
709,885,694,111.4,123.8,0,0,0,-1,76
718,525,262,154.6,170.2,0,0,0,-1,105
1595,326,386,142.7,154.1,0,0,0,-1,98
1536,161,475,158.2,169.4,0,0,0,-1,87
1183,1048,220,102.4,111.2,0,0,0,-1,63
1994,1051,613,167.4,175.8,0,0,0,-1,98
1483,536,812,132.4,143.2,0,0,0,-1,79
1840,915,443,153.1,162.9,0,0,0,-1,101
1414,200,989,207.5,231.3,0,0,0,-1,125
1780,262,336,191.0,204.2,0,0,0,-1,111
1789,682,1065,170.6,181.4,0,0,0,-1,99
